candidate_name_en,candidate_name_ar,candidate_list_en,candidate_list_ar,seat,num_votes,num_votes_list,district,election_year,elected
salaheddine_salam,صلاح الدين يوسف سلام,beirut_alwatan,بيروت الوطن,sunni,308,7475,beirut_2,2018,FALSE
mohamed_badr,محمد نبيل عثمان بدر,beirut_alwatan,بيروت الوطن,sunni,854,7475,beirut_2,2018,FALSE
emad_alhout,عماد مدحت الحوت,beirut_alwatan,بيروت الوطن,sunni,3938,7475,beirut_2,2018,FALSE
bashar_kouatly,بشار حسين قوتلي,beirut_alwatan,بيروت الوطن,sunni,570,7475,beirut_2,2018,FALSE
saadeddine_alwazzan,سعد الدين نمر الوزان,beirut_alwatan,بيروت الوطن,sunni,321,7475,beirut_2,2018,FALSE
mustafa_banbouk,مصطفى بشير بنبوك,beirut_alwatan,بيروت الوطن,sunni,699,7475,beirut_2,2018,FALSE
ibrahim_shamseddine,ابراهيم محمد مهدي شمس الدين,beirut_alwatan,بيروت الوطن,shia,62,7475,beirut_2,2018,FALSE
salwa_khalil,سلوى ايوب خليل,beirut_alwatan,بيروت الوطن,shia,31,7475,beirut_2,2018,FALSE
said_halabi,سعيد علي حلبي,beirut_alwatan,بيروت الوطن,druze,295,7475,beirut_2,2018,FALSE
george_choukair,جورج غسان شقير,beirut_alwatan,بيروت الوطن,greek_orthodox,175,7475,beirut_2,2018,FALSE
dalal_alrahbani,الرحباني حليم دالل,beirut_alwatan,بيروت الوطن,anglican,71,7475,beirut_2,2018,FALSE
khalid_hammoud,خالد محمود حمود,karamet_beirut,كرامة بيروت,sunni,90,971,beirut_2,2018,FALSE
khuloud_alwattar,خلود موفق الوتار,karamet_beirut,كرامة بيروت,sunni,24,971,beirut_2,2018,FALSE
mohamed_shatila,محمد نبيل شاتيلا,karamet_beirut,كرامة بيروت,sunni,227,971,beirut_2,2018,FALSE
mohamed_alqadi,محمد خير صالح القاضي,karamet_beirut,كرامة بيروت,sunni,77,971,beirut_2,2018,FALSE
jihad_matar,جهاد حسن الاحمد مطر,karamet_beirut,كرامة بيروت,sunni,52,971,beirut_2,2018,FALSE
hanan_alchaar,حنان عدنان الشعار,karamet_beirut,كرامة بيروت,sunni,52,971,beirut_2,2018,FALSE
raja_alzuhairi,رجا رفيق الزهيري,karamet_beirut,كرامة بيروت,druze,223,971,beirut_2,2018,FALSE
ali_sbaiti,علي حسين سبيتي,karamet_beirut,كرامة بيروت,shia,53,971,beirut_2,2018,FALSE
mikhael_mikhael,مخايل بهاء مخايل,karamet_beirut,كرامة بيروت,greek_orthodox,123,971,beirut_2,2018,FALSE
adnan_traboulsi,عدنان خضر طرابلسي,wehdat_beirut,وحدة بيروت,sunni,13018,47087,beirut_2,2018,TRUE
omar_ghandour,عمر عبد القادر غندور,wehdat_beirut,وحدة بيروت,sunni,329,47087,beirut_2,2018,FALSE
amin_sherri,امين محمد شري,wehdat_beirut,وحدة بيروت,shia,22961,47087,beirut_2,2018,TRUE
mohamed_khawaja,محمد مصطفى خواجه,wehdat_beirut,وحدة بيروت,shia,7834,47087,beirut_2,2018,TRUE
mohamed_baasiri,محمد امين انور بعاصيري,wehdat_beirut,وحدة بيروت,sunni,205,47087,beirut_2,2018,FALSE
edgard_traboulsi,ادكار جوزف طرابلسي,wehdat_beirut,وحدة بيروت,anglican,1919,47087,beirut_2,2018,TRUE
ziad_itani,زياد غازي عيتاني,almouarada_albeirutieh,المعارضة البيروتية,sunni,263,553,beirut_2,2018,FALSE
amer_iskandarani,عامر احمد اسكندراني,almouarada_albeirutieh,المعارضة البيروتية,sunni,25,553,beirut_2,2018,FALSE
ikram_sinno,اكرم محمد سنو,almouarada_albeirutieh,المعارضة البيروتية,sunni,72,553,beirut_2,2018,FALSE
bechara_khairallah,بشاره نعيم خير الله,almouarada_albeirutieh,المعارضة البيروتية,greek_orthodox,34,553,beirut_2,2018,FALSE
lina_hamdan,لينا محمد علي حمدان,almouarada_albeirutieh,المعارضة البيروتية,shia,58,553,beirut_2,2018,FALSE
zeina_mansour,زينه شوقي منصور,almouarada_albeirutieh,المعارضة البيروتية,druze,15,553,beirut_2,2018,FALSE
yasin_qdado,ياسين معروف قدادو,almouarada_albeirutieh,المعارضة البيروتية,sunni,46,553,beirut_2,2018,FALSE
safiye_zaza,صفيه معروف ظاظا,almouarada_albeirutieh,المعارضة البيروتية,sunni,7,553,beirut_2,2018,FALSE
rula_altabash,رولا نزار الطبش,almustakbal_libeirut,المستقبل لبيروت,sunni,6637,62970,beirut_2,2018,TRUE
ghazi_yousef,غازي علي يوسف,almustakbal_libeirut,المستقبل لبيروت,shia,1759,62970,beirut_2,2018,FALSE
nazih_nejm,نزيه نقولا نجم,almustakbal_libeirut,المستقبل لبيروت,greek_orthodox,2351,62970,beirut_2,2018,TRUE
saadeddine_alhariri,سعد الدين رفيق الحريري,almustakbal_libeirut,المستقبل لبيروت,sunni,20751,62970,beirut_2,2018,TRUE
tamam_salam,تمام صائب بك سلام,almustakbal_libeirut,المستقبل لبيروت,sunni,9599,62970,beirut_2,2018,TRUE
nouhad_almachnouk,نهاد صالح المشنوق,almustakbal_libeirut,المستقبل لبيروت,sunni,6411,62970,beirut_2,2018,TRUE
basem_alshab,باسم الدكتور رمزي الشاب,almustakbal_libeirut,المستقبل لبيروت,anglican,735,62970,beirut_2,2018,FALSE
rabih_hasouneh,ربيع محمد حسونه,almustakbal_libeirut,المستقبل لبيروت,sunni,5825,62970,beirut_2,2018,FALSE
ali_alshaer,علي كمال الشاعر,almustakbal_libeirut,المستقبل لبيروت,shia,2462,62970,beirut_2,2018,FALSE
zaher_aido,زاهر وليد عيدو,almustakbal_libeirut,المستقبل لبيروت,sunni,2510,62970,beirut_2,2018,FALSE
faisal_alsayegh,فيصل عفيف الصايغ,almustakbal_libeirut,المستقبل لبيروت,druze,1902,62970,beirut_2,2018,TRUE
walid_shatila,وليد شفيق شاتيلا,albiarteh_almustakileen,البيارتة المستقلين,sunni,44,410,beirut_2,2018,FALSE
abdelkarim_itani,عبد الكريم حسين عيتاني,albiarteh_almustakileen,البيارتة المستقلين,sunni,87,410,beirut_2,2018,FALSE
abdelrahman_alghalayini,عبد الرحمن خضر الغلايني,albiarteh_almustakileen,البيارتة المستقلين,sunni,20,410,beirut_2,2018,FALSE
khaled_hankir,خالد ابراهيم حنقير,albiarteh_almustakileen,البيارتة المستقلين,sunni,16,410,beirut_2,2018,FALSE
khaled_mumtaz,خالد سعيد ممتاز,albiarteh_almustakileen,البيارتة المستقلين,sunni,108,410,beirut_2,2018,FALSE
wissam_akoush,وسام سعيد عكوش,albiarteh_almustakileen,البيارتة المستقلين,shia,9,410,beirut_2,2018,FALSE
jihad_hamoud,جهاد علي حمود,albiarteh_almustakileen,البيارتة المستقلين,shia,19,410,beirut_2,2018,FALSE
leon_sioufi,ليون سورين سيوفي,albiarteh_almustakileen,البيارتة المستقلين,greek_orthodox,29,410,beirut_2,2018,FALSE
andrea_alzuhairi,انديرا سمير الزهيري,albiarteh_almustakileen,البيارتة المستقلين,druze,37,410,beirut_2,2018,FALSE
fadi_zarazir,فادي بهنان زرازير,albiarteh_almustakileen,البيارتة المستقلين,anglican,12,410,beirut_2,2018,FALSE
ibrahim_mnaimneh,ابراهيم حسن منيمنه,kulna_beirut,كلنا بيروت,sunni,1676,6174,beirut_2,2018,FALSE
nadine_itani,نادين محمود عيتاني,kulna_beirut,كلنا بيروت,sunni,612,6174,beirut_2,2018,FALSE
hassan_sinno,حسن فيصل سنو,kulna_beirut,كلنا بيروت,sunni,1174,6174,beirut_2,2018,FALSE
fatima_meshref,فاطمة احمد مشرف,kulna_beirut,كلنا بيروت,sunni,433,6174,beirut_2,2018,FALSE
marwan_altayebi,مروان وليد الطيبي,kulna_beirut,كلنا بيروت,sunni,112,6174,beirut_2,2018,FALSE
nuhad_yazbek,نهاد سليم يزبك,kulna_beirut,كلنا بيروت,anglican,633,6174,beirut_2,2018,FALSE
naji_qudeih,ناجي حسين قديح,kulna_beirut,كلنا بيروت,shia,111,6174,beirut_2,2018,FALSE
zeina_majdalani,زينه نبيه مجدالني,kulna_beirut,كلنا بيروت,greek_orthodox,1218,6174,beirut_2,2018,FALSE
